Time;Type;CurrentPose;TargetPose;Result
Sat Sep 29 14:37:14 2018;grasp_pose;(0.458984672944,-0.161925983918,0.171934330382)/(0.00116404707328,6.03421080848e-05,-0.000169235026596,0.999999306356);(0.534003555775,0.0980000048876,0.225)/(0.0,0.0,0.0,1.0);success
Sat Sep 29 14:37:16 2018;post_grasp;(0.459332221617,-0.16187105208,0.302678022439)/(-0.00122800432088,-0.0033940849942,-0.0010203129339,0.999992965552);(0.0,0.0,0.0)/(0.0,0.0,0.0,0.0);success
Sat Sep 29 14:37:22 2018;drop_pose;(0.20588313455,-0.196594755495,0.213851750905)/(0.00589535790789,0.00396102924954,-0.00280315432473,0.999970848239);(0.282197535038,0.0621092282236,0.265)/(0.0,0.0,0.0,1.0);success
Sat Sep 29 14:37:40 2018;grasp_pose;(0.205830785417,0.299139715695,0.173485452138)/(-0.000795476079484,0.000956686971021,-0.00624152948759,0.999979747434);(0.281365096569,0.560149908066,0.225)/(0.0,0.0,0.0,1.0);success
Sat Sep 29 14:37:53 2018;post_grasp;(0.206741380422,0.297847002407,0.303341829614)/(0.00103376776951,0.00297700121064,-0.00831494814897,0.999960464431);(0.0,0.0,0.0)/(0.0,0.0,0.0,0.0);success
Sat Sep 29 14:38:07 2018;drop_pose;(0.353035882155,-0.148761477259,0.21330925786)/(0.00158582122161,0.00624645879706,0.00536955891171,0.999964816761);(0.428896814585,0.111394047737,0.265)/(0.0,0.0,0.0,1.0);success
Sat Sep 29 14:38:18 2018;grasp_pose;(0.523391611605,-0.138729849662,0.17009996989)/(0.0025569105485,0.00634010570721,-0.00280365522458,0.99997270202);(0.600407779217,0.120749570429,0.225)/(0.0,0.0,0.0,1.0);success
Sat Sep 29 14:38:20 2018;post_grasp;(0.523492473652,-0.138620059337,0.30047768532)/(0.00214514383545,0.00390646899754,-0.00189904476652,0.999988265675);(0.0,0.0,0.0)/(0.0,0.0,0.0,0.0);success
Sat Sep 29 14:38:25 2018;drop_pose;(0.347072482663,-0.193688111744,0.212334133734)/(0.00194392166283,0.00403725243928,-0.00479089809467,0.999978484297);(0.423110067844,0.0664471909404,0.265)/(0.0,0.0,0.0,1.0);success
Sat Sep 29 14:38:46 2018;grasp_pose;(0.411202710367,0.198452653125,0.172156399125)/(-0.00083081470677,0.00343483913168,-0.00285633192408,0.999989676444);(0.486796945333,0.458407074213,0.225)/(0.0,0.0,0.0,1.0);success
Sat Sep 29 14:38:48 2018;post_grasp;(0.411523317321,0.198566298673,0.30242550341)/(0.000195518616942,0.000527706733191,-0.00178403990802,0.999998250248);(0.0,0.0,0.0)/(0.0,0.0,0.0,0.0);success
Sat Sep 29 14:38:54 2018;drop_pose;(0.351042103476,-0.239811670105,0.213158141808)/(0.00172595589465,0.00324769801939,-0.00477533593349,0.999981834685);(0.426739126444,0.0211364664137,0.265)/(0.0,0.0,0.0,1.0);success
Sat Sep 29 14:39:19 2018;grasp_pose;(0.25281710616,0.268718695478,0.173717548891)/(-0.00131028517842,0.00214054953775,-0.000941936064117,0.999996406972);(0.328476756811,0.529403984547,0.225)/(0.0,0.0,0.0,1.0);success
Sat Sep 29 14:39:21 2018;post_grasp;(0.252957954702,0.268934451222,0.303917494497)/(-0.000107301713067,0.000379464540729,-0.00325305156198,0.99999463106);(0.0,0.0,0.0)/(0.0,0.0,0.0,0.0);success
Sat Sep 29 14:39:26 2018;drop_pose;(0.566876132612,0.0124750470249,0.211907502274)/(0.000120305711734,0.000401963131653,-0.00489709700435,0.999987921124);(0.641275584698,0.27394720912,0.265)/(0.0,0.0,0.0,1.0);success
Sat Sep 29 14:39:48 2018;grasp_pose;(0.243691061722,-0.205692856275,0.173734500052)/(-0.00105372277313,-0.000308452321917,-0.00253747396738,0.999996177868);(0.318582206964,0.0545804351568,0.225)/(0.0,0.0,0.0,1.0);success
Sat Sep 29 14:39:50 2018;post_grasp;(0.243745666818,-0.205672314396,0.303435758534)/(-0.00225534492934,-0.00118891088322,-0.00265762500808,0.999993218447);(0.0,0.0,0.0)/(0.0,0.0,0.0,0.0);success
Sat Sep 29 14:39:55 2018;drop_pose;(0.36330745498,-0.0859659872232,0.213588304706)/(0.00166406129712,0.00289703221046,0.00632451498166,0.99997441898);(0.43836581707,0.172354638577,0.265)/(0.0,0.0,0.0,1.0);success
Sat Sep 29 14:40:21 2018;grasp_pose;(0.250805139288,0.213234259676,0.173627603063)/(-0.00228822955274,0.00262964523306,0.00188137650456,0.999992154666);(0.326413929462,0.473822414875,0.225)/(0.0,0.0,0.0,1.0);success
Sat Sep 29 14:40:31 2018;post_grasp;(0.250361746036,0.21192241684,0.303515927461)/(-0.00427264151567,0.00441478595589,-0.00137570762933,0.999980180618);(0.0,0.0,0.0)/(0.0,0.0,0.0,0.0);success
Sat Sep 29 14:40:36 2018;drop_pose;(0.185432269157,0.214391640927,0.214278236899)/(0.000175893877486,0.000682015215742,0.00448946524934,0.999989674256);(0.260424077511,0.474564313889,0.265)/(0.0,0.0,0.0,1.0);success
Sat Sep 29 14:40:52 2018;grasp_pose;(0.530931918985,0.0109062071405,0.171585866273)/(0.000910279709868,0.00495674606078,-0.0012539712584,0.999986514717);(0.607250273228,0.27084377408,0.225)/(0.0,0.0,0.0,1.0);success
Sat Sep 29 14:40:54 2018;post_grasp;(0.531193749082,0.0105283950583,0.302277747632)/(0.000838390857714,0.00195560943525,-0.000298122194754,0.999997691905);(0.0,0.0,0.0)/(0.0,0.0,0.0,0.0);success
Sat Sep 29 14:41:02 2018;drop_pose;(0.190546451922,-0.150128691874,0.213859370855)/(0.00384256311165,0.00188215999544,0.00140528886244,0.999989858621);(0.265683144331,0.109975360334,0.265)/(0.0,0.0,0.0,1.0);success
Sat Sep 29 14:41:13 2018;grasp_pose;(0.247307584728,-0.000252219346476,0.173901556322)/(-0.00266302143335,0.00544424798483,-0.00143721356408,0.999980601261);(0.323474675417,0.259875267744,0.225)/(0.0,0.0,0.0,1.0);success
Sat Sep 29 14:41:16 2018;post_grasp;(0.247409611406,-0.000152337001276,0.304024229806)/(-0.00157670565463,0.00219494788442,-0.00147330493702,0.999995262777);(0.0,0.0,0.0)/(0.0,0.0,0.0,0.0);success
Sat Sep 29 14:41:21 2018;drop_pose;(0.454231523231,0.076804222957,0.212997313661)/(0.000113148880436,0.000530166652353,0.00106319484223,0.999999287868);(0.528961420059,0.336982876062,0.265)/(0.0,0.0,0.0,1.0);success
Sat Sep 29 14:41:38 2018;grasp_pose;(0.206344816527,-0.196376958728,0.174316444593)/(-0.00153835986562,-8.43302482063e-06,0.00128869832357,0.999997986315);(0.280943661928,0.0638965666294,0.225)/(0.0,0.0,0.0,1.0);success
Sat Sep 29 14:41:40 2018;post_grasp;(0.206427008535,-0.19643392051,0.304213296101)/(-0.00156104093497,-0.000178863818614,-0.00191315692059,0.99999693549);(0.0,0.0,0.0)/(0.0,0.0,0.0,0.0);success
